ID,Address,Job Number,Job Name,Latitude,Longitude,Radius,Tags,Notes,Type
23568380,"W El Camino Ave & Orchard Ln, Sacramento, CA 95833, USA",ADTC00,THE CORE,38.614096,-121.5301,250,"Sacramento,Anthony Shaffer,Forrest George Mccurdy",ADTC00 THE CORE,Normal Geofence
23572052,"Ave 12 & Riverstone Blvd, California 93636, USA",LEMSK0,MORAGA SKYE,36.923214,-119.807479,250,"Central Valley,Andres Rodriguez",LEMSK0 MORAGA SKYE,Normal Geofence
23573379,"12th Ave & Houston Ave, California 93230, USA",SJSO00,STERLING OAKS,36.300439,-119.666272,250,"Central Valley,Julio Garcia",SJSO00 STERLING OAKS,Normal Geofence
23573439,"Sangiovese St, Hanford, CA 93230, USA",SJBV20,BELLA VISTA II,36.351831,-119.680126,250,"Central Valley,Julio Garcia",SJBV20 BELLA VISTA II,Normal Geofence
23586907,"1681 E Duff Ave, Reedley, CA 93654, USA",CC6229,TRACT 6229 RANCHO VISTA,36.59305,-119.431241,250,"Central Valley,Silvano Sanchez",CC6229 TRACT 6229 RANCHO VISTA,Normal Geofence
23647747,"Patagonia Way & Sucre Pl, Bakersfield, CA 93306",KVLA00,LANTANA ,35.406218,-118.883034,250,"Central Valley,Julio Garcia",KVLA00 LANTANA,Normal Geofence
23648108,"https://www.google.com/maps/place/Black+Oaks+by+Woodside+Homes/@36.3602541,-119.3138536,15z/data=!4m5!3m4!1s0x0:0x21146b3fe48e545f!8m2!3d36.3602539!4d-119.3138643",WSB030,BLACK OAKS III,36.360254,-119.313854,250,"Central Valley,Julio Garcia",WSB030,Normal Geofence
23648122,"https://www.google.com/maps/dir/38.5941504,-121.503744/Orchard+Walk+by+D.R.+Horton+America's+Builder,+2832+N.+Church+Ct,+Visalia,+CA+93291/@37.4538118,-121.5262258,8z/data=!3m1!4b1!4m9!4m8!1m1!4e1!1m5!1m1!1s0x809525b1f538f879:0xe6659642af9e8762!2m2!1d-119.2917377!2d36.3560658",DROW20,ORCHARD WALK II,36.356066,-119.291738,250,"Central Valley,Julio Garcia",DROW20,Normal Geofence
23709757,"Windmill Farms Pkwy, Sparks, NV, USA",DRSD12,SILVER DOLLAR AREA1 PH.2,39.609018,-119.723367,250,"Reno,Joaquin Gonzalez-Cruz",DRSD12 SILVER DOLLAR AREA1 PH.2,Normal Geofence
23710109,"7030 N Fruit Ave, Fresno, CA 93711, USA",BO6280,BONDELLE HOMES,36.83767,-119.816882,250,"Central Valley,Julio Garcia",BO6280 BONDELLE HOMES,Normal Geofence
23769995,"4441 Alitalia Way, Stockton, CA 95206, USA",BOC529,BUZZ OATES CONSTRUCTION,37.905964,-121.250875,250,Sacramento,BOC529 BUZZ OATES CONSTRUCTION,Normal Geofence
23770002,"4533 Alitalia Way, Stockton, CA 95206, USA",BOC530,BUZZ OATS CONSTRUCTION,37.904873,-121.249894,250,Sacramento,BOC530 BUZZ OATS CONSTRUCTION,Normal Geofence
23803061,"8912 Claro De Luna Dr, Bakersfield, CA 93314, USA",WSMC20,MONTICELLO II,35.432519,-119.103298,250,"Central Valley,Julio Garcia",WSMC20 MONTICELLO II,Normal Geofence
23803154,15521 COLE BROOK CT BAKERSFIELD CA 93314,WSGG00,GRAHAM GROVE,35.350191,-119.174865,250,"Central Valley,Julio Garcia",WSGG00 GRAHAM GROVE,Normal Geofence
